Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
tr|G3V113|G3V113_HUMAN;sp|Q15819|UB2V2_HUMAN;tr|E5RIF1|E5RIF1_HUMAN;tr|D6RG00|D6RG00_HUMAN;tr|G3V2F7|G3V2F7_HUMAN;tr|H0YBP9|H0YBP9_HUMAN;sp|Q13404|UB2V1_HUMAN;tr|H0YBX6|H0YBX6_HUMAN;tr|I3L0A0|I3L0A0_HUMAN	tr|G3V113|G3V113_HUMAN;sp|Q15819|UB2V2_HUMAN;tr|E5RIF1|E5RIF1_HUMAN;tr|D6RG00|D6RG00_HUMAN;tr|G3V2F7|G3V2F7_HUMAN;tr|H0YBP9|H0YBP9_HUMAN;sp|Q13404|UB2V1_HUMAN;tr|H0YBX6|H0YBX6_HUMAN;tr|I3L0A0|I3L0A0_HUMAN	2;2;1;1;1;1;1;1;1	2;2;1;1;1;1;1;1;1	2;2;1;1;1;1;1;1;1	tr|G3V113|G3V113_HUMAN Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens OX=9606 GN=UBE2V2 PE=1 SV=1;sp|Q15819|UB2V2_HUMAN Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens OX=9606 GN=UBE2V2 PE=1 SV=4;tr|E5RIF1|E5RIF1_HUMAN Ubiquitin-conjug	9	2	2	2	24.8	24.8	24.8	12.017	105	105;145;52;89;105;109;147;154;370	0	15.448	21495000	2				974	3091;7625	True;True	3108;7682	3593;9029	4300;10909	4300;10909			-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|Q15836|VAMP3_HUMAN	sp|Q15836|VAMP3_HUMAN	5	1	1	sp|Q15836|VAMP3_HUMAN Vesicle-associated membrane protein 3 OS=Homo sapiens OX=9606 GN=VAMP3 PE=1 SV=3	1	5	1	1	52	16	16	11.309	100	100	0	24.169	11880000	0				975	1122;4318;4354;4355;7317	False;True;False;False;False	1128;4339;4375;4376;7372	1300;5058;5098;5099;5100;8673	1567;6071;6120;6121;6122;6123;6124;10468	1567;6071;6120;6122;10468			-1
sp|Q15843|NEDD8_HUMAN;tr|S4R3E9|S4R3E9_HUMAN;tr|F8VSA6|F8VSA6_HUMAN;tr|E9PS38|E9PS38_HUMAN;tr|E9PL57|E9PL57_HUMAN	sp|Q15843|NEDD8_HUMAN;tr|S4R3E9|S4R3E9_HUMAN;tr|F8VSA6|F8VSA6_HUMAN;tr|E9PS38|E9PS38_HUMAN;tr|E9PL57|E9PL57_HUMAN	4;3;2;2;2	4;3;2;2;2	4;3;2;2;2	sp|Q15843|NEDD8_HUMAN NEDD8 OS=Homo sapiens OX=9606 GN=NEDD8 PE=1 SV=1;tr|S4R3E9|S4R3E9_HUMAN NEDD8-MDP1 readthrough OS=Homo sapiens OX=9606 GN=NEDD8-MDP1 PE=4 SV=1;tr|F8VSA6|F8VSA6_HUMAN NEDD8 OS=Homo sapiens OX=9606 GN=NEDD8 PE=4 SV=1;tr|E9PS38|E9PS38_HU	5	4	4	4	55.6	55.6	55.6	9.0714	81	81;84;50;67;170	0	25.837	97168000	6				976	1376;3006;5481;6613	True;True;True;True	1383;3018;5523;6662	1601;1602;3494;6476;7811	1915;1916;1917;4184;4185;7783;9395	1916;4185;7783;9395			-1;-1;-1;-1;-1
tr|F8W9Z1|F8W9Z1_HUMAN;tr|J3KP11|J3KP11_HUMAN;sp|Q15878|CAC1E_HUMAN;tr|A0A087WW63|A0A087WW63_HUMAN;tr|A0A1B0GTW2|A0A1B0GTW2_HUMAN;tr|A0A1C7CYY9|A0A1C7CYY9_HUMAN;tr|A0A384DVW2|A0A384DVW2_HUMAN;tr|A0A1B0GTI4|A0A1B0GTI4_HUMAN;tr|B5TYJ1|B5TYJ1_HUMAN;tr|A0A1B0GVQ9|A0A1B0GVQ9_HUMAN;tr|A0A1B0GU74|A0A1B0GU74_HUMAN;tr|A0A1B0GTN7|A0A1B0GTN7_HUMAN;tr|A0A1B0GU81|A0A1B0GU81_HUMAN;sp|O00555|CAC1A_HUMAN;tr|A0A1B0GUS3|A0A1B0GUS3_HUMAN;tr|E9PIE8|E9PIE8_HUMAN;tr|F6RH32|F6RH32_HUMAN;sp|Q00975|CAC1B_HUMAN;tr|B1AQK7|B1AQK7_HUMAN;tr|K7EQ95|K7EQ95_HUMAN;tr|E9PDR3|E9PDR3_HUMAN;tr|B1AQK6|B1AQK6_HUMAN	tr|F8W9Z1|F8W9Z1_HUMAN;tr|J3KP11|J3KP11_HUMAN;sp|Q15878|CAC1E_HUMAN;tr|A0A087WW63|A0A087WW63_HUMAN;tr|A0A1B0GTW2|A0A1B0GTW2_HUMAN;tr|A0A1C7CYY9|A0A1C7CYY9_HUMAN;tr|A0A384DVW2|A0A384DVW2_HUMAN;tr|A0A1B0GTI4|A0A1B0GTI4_HUMAN;tr|B5TYJ1|B5TYJ1_HUMAN;tr|A0A1B0GVQ9|A0A1B0GVQ9_HUMAN;tr|A0A1B0GU74|A0A1B0GU74_HUMAN;tr|A0A1B0GTN7|A0A1B0GTN7_HUMAN;tr|A0A1B0GU81|A0A1B0GU81_HUMAN;sp|O00555|CAC1A_HUMAN;tr|A0A1B0GUS3|A0A1B0GUS3_HUMAN	4;4;4;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1	4;4;4;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1	4;4;4;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1	tr|F8W9Z1|F8W9Z1_HUMAN Voltage-dependent R-type calcium channel subunit alpha OS=Homo sapiens OX=9606 GN=CACNA1E PE=1 SV=1;tr|J3KP11|J3KP11_HUMAN Voltage-dependent R-type calcium channel subunit alpha OS=Homo sapiens OX=9606 GN=CACNA1E PE=1 SV=2;sp|Q15878|	22	4	4	4	2.2	2.2	2.2	259.22	2294	2294;2312;2313;2512;2460;2508;2261;2262;2263;2266;2302;2507;2507;2506;2495;583;2340;2339;2338;981;2237;2337	0	25.327	27915000	5				977	106;447;4754;6630	True;True;True;True	106;448;4783;6679	120;501;5569;7830	152;594;595;6684;9419	152;595;6684;9419			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|Q15907|RB11B_HUMAN;tr|H3BMH2|H3BMH2_HUMAN;tr|H3BSC1|H3BSC1_HUMAN;sp|P62491|RB11A_HUMAN;tr|B4DQU5|B4DQU5_HUMAN;tr|M0R2D0|M0R2D0_HUMAN	sp|Q15907|RB11B_HUMAN;tr|H3BMH2|H3BMH2_HUMAN;tr|H3BSC1|H3BSC1_HUMAN;sp|P62491|RB11A_HUMAN	9;7;7;7;3;1	9;7;7;7;3;1	9;7;7;7;3;1	sp|Q15907|RB11B_HUMAN Ras-related protein Rab-11B OS=Homo sapiens OX=9606 GN=RAB11B PE=1 SV=4;tr|H3BMH2|H3BMH2_HUMAN Ras-related protein Rab-11A (Fragment) OS=Homo sapiens OX=9606 GN=RAB11A PE=4 SV=1;tr|H3BSC1|H3BSC1_HUMAN Ras-related protein Rab-11A OS=Ho	6	9	9	9	48.6	48.6	48.6	24.488	218	218;155;198;216;146;60	0	74.895	374360000	10				978	548;977;1942;2404;5009;5115;5938;6223;7508	True;True;True;True;True;True;True;True;True	550;981;1952;2416;5045;5153;5980;6268;7564	621;1129;2234;2766;5887;6038;7028;7355;8892	750;1364;2670;3305;7076;7077;7262;8459;8850;10741	750;1364;2670;3305;7077;7262;8459;8850;10741			-1;-1;-1;-1;-1;-1
sp|Q16134|ETFD_HUMAN	sp|Q16134|ETFD_HUMAN	1	1	1	sp|Q16134|ETFD_HUMAN Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=ETFDH PE=1 SV=2	1	1	1	1	1.8	1.8	1.8	68.495	617	617	0.0014695	6.7337	37110000	1				979	5089	True	5125	6003	7218	7218			-1
sp|Q16143|SYUB_HUMAN;tr|G4Y816|G4Y816_HUMAN;tr|F8W754|F8W754_HUMAN;sp|O76070|SYUG_HUMAN	sp|Q16143|SYUB_HUMAN;tr|G4Y816|G4Y816_HUMAN;tr|F8W754|F8W754_HUMAN;sp|O76070|SYUG_HUMAN	7;6;4;4	7;6;4;4	6;6;4;4	sp|Q16143|SYUB_HUMAN Beta-synuclein OS=Homo sapiens OX=9606 GN=SNCB PE=1 SV=1;tr|G4Y816|G4Y816_HUMAN Beta-synuclein OS=Homo sapiens OX=9606 GN=SNCB PE=1 SV=1;tr|F8W754|F8W754_HUMAN Gamma-synuclein OS=Homo sapiens OX=9606 GN=SNCG PE=1 SV=1;sp|O76070|SYUG_HU	4	7	7	6	36.6	36.6	29.9	14.288	134	134;120;126;127	0	114.95	1844200000	13				980	1360;1536;5382;5383;6541;6547;6548	True;True;True;True;True;True;True	1367;1544;5424;5425;6589;6595;6596	1584;1780;1781;6365;6366;7730;7731;7732;7739;7740	1898;2124;2125;2126;2127;7653;7654;9294;9295;9296;9297;9307;9308	1898;2126;7653;7654;9297;9307;9308			-1;-1;-1;-1
tr|E7ES33|E7ES33_HUMAN;tr|E7EPK1|E7EPK1_HUMAN;sp|Q16181|SEPT7_HUMAN;tr|G3V1Q4|G3V1Q4_HUMAN;tr|A0A0U1RRM2|A0A0U1RRM2_HUMAN;tr|Q5JXL7|Q5JXL7_HUMAN;tr|A0A0U1RRE1|A0A0U1RRE1_HUMAN;tr|A0A0U1RRH9|A0A0U1RRH9_HUMAN;tr|A0A0U1RRD1|A0A0U1RRD1_HUMAN;sp|Q6ZU15|SEP14_HUMAN	tr|E7ES33|E7ES33_HUMAN;tr|E7EPK1|E7EPK1_HUMAN;sp|Q16181|SEPT7_HUMAN;tr|G3V1Q4|G3V1Q4_HUMAN	23;23;23;21;7;6;6;5;2;1	23;23;23;21;7;6;6;5;2;1	23;23;23;21;7;6;6;5;2;1	tr|E7ES33|E7ES33_HUMAN Septin 7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=3;tr|E7EPK1|E7EPK1_HUMAN Septin 7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;sp|Q16181|SEPT7_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2;tr|G3V1Q4|G3V1Q4_HUMAN Sep	10	23	23	23	59.5	59.5	59.5	48.715	417	417;437;437;401;111;88;157;147;77;432	0	182.41	2070600000	29				981	150;517;2971;3001;3324;3325;3527;3534;3640;3929;4004;4669;5045;5046;5399;5595;6086;6087;6228;6480;6848;7303;7347	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	150;519;2983;3013;3342;3343;3546;3553;3659;3949;4025;4695;5081;5082;5441;5637;6131;6132;6273;6527;6902;7358;7402	174;585;3425;3457;3862;3863;3864;4121;4128;4244;4606;4700;5474;5950;5951;5952;6382;6607;7196;7197;7198;7362;7660;8113;8653;8654;8709	217;702;4098;4138;4629;4630;4631;4632;4942;4949;5079;5521;5635;6572;6573;7155;7156;7157;7672;7950;7951;8661;8662;8663;8858;9217;9773;10444;10445;10514	217;702;4098;4138;4629;4631;4942;4949;5079;5521;5635;6573;7155;7157;7672;7951;8661;8663;8858;9217;9773;10445;10514			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
tr|B7Z7U4|B7Z7U4_HUMAN;tr|H0YM90|H0YM90_HUMAN;sp|Q16288|NTRK3_HUMAN;tr|A0A0D9SFP6|A0A0D9SFP6_HUMAN;tr|R4GMR8|R4GMR8_HUMAN;tr|J3KP20|J3KP20_HUMAN;sp|P04629|NTRK1_HUMAN	tr|B7Z7U4|B7Z7U4_HUMAN;tr|H0YM90|H0YM90_HUMAN;sp|Q16288|NTRK3_HUMAN;tr|A0A0D9SFP6|A0A0D9SFP6_HUMAN;tr|R4GMR8|R4GMR8_HUMAN;tr|J3KP20|J3KP20_HUMAN;sp|P04629|NTRK1_HUMAN	2;2;2;2;1;1;1	1;1;1;1;0;0;0	1;1;1;1;0;0;0	tr|B7Z7U4|B7Z7U4_HUMAN Tyrosine-protein kinase receptor OS=Homo sapiens OX=9606 GN=NTRK3 PE=1 SV=1;tr|H0YM90|H0YM90_HUMAN Tyrosine-protein kinase receptor OS=Homo sapiens OX=9606 GN=NTRK3 PE=1 SV=1;sp|Q16288|NTRK3_HUMAN NT-3 growth factor receptor OS=Homo 	7	2	1	1	3.1	1.8	1.8	69.019	617	617;705;839;864;146;793;796	0.00079428	7.5054	9601000	1				982	2855;3130	False;True	2867;3148	3299;3641	3943;4362	3943;4362			-1;-1;-1;-1;-1;-1;-1
sp|Q16352|AINX_HUMAN	sp|Q16352|AINX_HUMAN	15	12	12	sp|Q16352|AINX_HUMAN Alpha-internexin OS=Homo sapiens OX=9606 GN=INA PE=1 SV=2	1	15	12	12	30.1	24.2	24.2	55.39	499	499	0	106.32	1500700000	15				983	403;552;577;626;958;1182;1691;1711;3505;3610;4599;5086;6495;6644;7107	True;True;True;True;True;True;False;True;False;True;False;True;True;True;True	403;554;579;628;962;1188;1700;1720;3524;3629;4621;5122;6543;6695;7161	452;626;657;715;1107;1376;1952;1973;4095;4210;5397;6000;7681;7846;8426	539;540;755;790;858;1338;1660;2337;2362;4915;5039;5040;6485;7214;7215;9240;9436;10168	540;755;790;858;1338;1660;2337;2362;4915;5039;6485;7215;9240;9436;10168			-1
sp|Q16537|2A5E_HUMAN	sp|Q16537|2A5E_HUMAN	4	4	4	sp|Q16537|2A5E_HUMAN Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform OS=Homo sapiens OX=9606 GN=PPP2R5E PE=1 SV=1	1	4	4	4	11.8	11.8	11.8	54.699	467	467	0	27.563	121600000	5				984	1845;3489;6124;6159	True;True;True;True	1854;3508;6169;6204	2114;4074;7239;7283	2523;2524;4892;8710;8763	2524;4892;8710;8763			-1
tr|K7EIU0|K7EIU0_HUMAN;tr|K7EQA9|K7EQA9_HUMAN;sp|Q16543|CDC37_HUMAN	tr|K7EIU0|K7EIU0_HUMAN;tr|K7EQA9|K7EQA9_HUMAN;sp|Q16543|CDC37_HUMAN	1;1;1	1;1;1	1;1;1	tr|K7EIU0|K7EIU0_HUMAN Hsp90 co-chaperone Cdc37 (Fragment) OS=Homo sapiens OX=9606 GN=CDC37 PE=1 SV=1;tr|K7EQA9|K7EQA9_HUMAN Hsp90 co-chaperone Cdc37 (Fragment) OS=Homo sapiens OX=9606 GN=CDC37 PE=1 SV=1;sp|Q16543|CDC37_HUMAN Hsp90 co-chaperone Cdc37 OS=Ho	3	1	1	1	20.2	20.2	20.2	11.545	104	104;230;378	0.00083682	9.8396	85091000	2				985	3904	True	3924	4577;4578	5487;5488	5487			-1;-1;-1
sp|Q16620|NTRK2_HUMAN	sp|Q16620|NTRK2_HUMAN	3	3	2	sp|Q16620|NTRK2_HUMAN BDNF/NT-3 growth factors receptor OS=Homo sapiens OX=9606 GN=NTRK2 PE=1 SV=1	1	3	3	2	6.2	6.2	5.2	91.998	822	822	0	19.653	41074000	4				986	2855;3129;6190	True;True;True	2867;3147;6235	3299;3640;7319	3943;4360;4361;8811	3943;4361;8811			-1
tr|A0A0C4DFZ1|A0A0C4DFZ1_HUMAN;tr|A8MZ54|A8MZ54_HUMAN;sp|Q16623|STX1A_HUMAN;sp|P32856|STX2_HUMAN	tr|A0A0C4DFZ1|A0A0C4DFZ1_HUMAN;tr|A8MZ54|A8MZ54_HUMAN;sp|Q16623|STX1A_HUMAN	17;17;17;1	16;16;16;0	16;16;16;0	tr|A0A0C4DFZ1|A0A0C4DFZ1_HUMAN Syntaxin-1A OS=Homo sapiens OX=9606 GN=STX1A PE=1 SV=1;tr|A8MZ54|A8MZ54_HUMAN Syntaxin-1A OS=Homo sapiens OX=9606 GN=STX1A PE=1 SV=1;sp|Q16623|STX1A_HUMAN Syntaxin-1A OS=Homo sapiens OX=9606 GN=STX1A PE=1 SV=1	4	17	16	16	53.1	50.4	50.4	29.573	260	260;280;288;288	0	181.19	1172900000	21				987	1876;1955;1956;2090;2091;2658;2725;2726;3410;3411;3456;4031;5304;5434;5920;6539;6790	True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True	1886;1965;1966;2100;2101;2670;2737;2738;3429;3430;3475;4052;5345;5476;5962;6587;6842	2149;2248;2249;2399;2400;3080;3160;3161;3971;3972;3973;4037;4736;6269;6424;7005;7728;8039	2565;2686;2687;2688;2689;2871;2872;3682;3775;3776;4766;4767;4768;4769;4770;4848;5676;7542;7722;8429;9292;9688	2565;2687;2689;2871;2872;3682;3775;3776;4767;4770;4848;5676;7542;7722;8429;9292;9688			-1;-1;-1;-1
tr|A0A0B4J1Z1|A0A0B4J1Z1_HUMAN;tr|C9JAB2|C9JAB2_HUMAN;sp|Q16629|SRSF7_HUMAN	tr|A0A0B4J1Z1|A0A0B4J1Z1_HUMAN;tr|C9JAB2|C9JAB2_HUMAN;sp|Q16629|SRSF7_HUMAN	1;1;1	1;1;1	1;1;1	tr|A0A0B4J1Z1|A0A0B4J1Z1_HUMAN Serine/arginine-rich-splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;tr|C9JAB2|C9JAB2_HUMAN Serine/arginine-rich-splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;sp|Q16629|SRSF7_HUMAN Serine/arginine-	3	1	1	1	15.3	15.3	15.3	15.763	137	137;235;238	0.0071382	5.9763	21238000	1				988	5136	True	5174	6061	7287	7287			-1;-1;-1
sp|Q16643|DREB_HUMAN;tr|D6R9W4|D6R9W4_HUMAN;tr|D6RFI1|D6RFI1_HUMAN;tr|D6R9Q9|D6R9Q9_HUMAN	sp|Q16643|DREB_HUMAN;tr|D6R9W4|D6R9W4_HUMAN	9;8;2;2	9;8;2;2	9;8;2;2	sp|Q16643|DREB_HUMAN Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4;tr|D6R9W4|D6R9W4_HUMAN Drebrin (Fragment) OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=1	4	9	9	9	15.1	15.1	15.1	71.428	649	649;317;124;391	0	69.895	259950000	9				989	274;1291;1552;1562;3584;3637;4333;4672;5824	True;True;True;True;True;True;True;True;True	274;1298;1560;1570;3603;3656;4354;4698;5866	312;1505;1797;1807;4183;4241;5073;5477;6887	379;1809;2146;2158;5010;5076;6088;6576;8268	379;1809;2146;2158;5010;5076;6088;6576;8268			-1;-1;-1;-1
tr|C9JTE0|C9JTE0_HUMAN;sp|Q16653|MOG_HUMAN;tr|A0A0G2JHB7|A0A0G2JHB7_HUMAN;tr|H0Y8A0|H0Y8A0_HUMAN;tr|A0A140T9L1|A0A140T9L1_HUMAN;tr|A0A0G2JJE4|A0A0G2JJE4_HUMAN;tr|A0A0G2JI49|A0A0G2JI49_HUMAN;tr|A0A0G2JIU9|A0A0G2JIU9_HUMAN;tr|A0A0G2JHA9|A0A0G2JHA9_HUMAN;tr|A0A0G2JKI0|A0A0G2JKI0_HUMAN;tr|Q5SSB8|Q5SSB8_HUMAN;tr|A0A0G2JIQ0|A0A0G2JIQ0_HUMAN;tr|A0A0G2JHM8|A0A0G2JHM8_HUMAN	tr|C9JTE0|C9JTE0_HUMAN;sp|Q16653|MOG_HUMAN;tr|A0A0G2JHB7|A0A0G2JHB7_HUMAN;tr|H0Y8A0|H0Y8A0_HUMAN;tr|A0A140T9L1|A0A140T9L1_HUMAN;tr|A0A0G2JJE4|A0A0G2JJE4_HUMAN;tr|A0A0G2JI49|A0A0G2JI49_HUMAN;tr|A0A0G2JIU9|A0A0G2JIU9_HUMAN;tr|A0A0G2JHA9|A0A0G2JHA9_HUMAN;tr|A0A0G2JKI0|A0A0G2JKI0_HUMAN;tr|Q5SSB8|Q5SSB8_HUMAN;tr|A0A0G2JIQ0|A0A0G2JIQ0_HUMAN;tr|A0A0G2JHM8|A0A0G2JHM8_HUMAN	2;2;1;1;1;1;1;1;1;1;1;1;1	2;2;1;1;1;1;1;1;1;1;1;1;1	2;2;1;1;1;1;1;1;1;1;1;1;1	tr|C9JTE0|C9JTE0_HUMAN Myelin-oligodendrocyte glycoprotein OS=Homo sapiens OX=9606 GN=MOG PE=1 SV=1;sp|Q16653|MOG_HUMAN Myelin-oligodendrocyte glycoprotein OS=Homo sapiens OX=9606 GN=MOG PE=1 SV=2;tr|A0A0G2JHB7|A0A0G2JHB7_HUMAN Myelin-oligodendrocyte glyco	13	2	2	2	12.4	12.4	12.4	23.868	209	209;247;131;142;179;179;204;213;224;229;252;252;295	0	15.4	111370000	2				990	985;3669	True;True	989;3688	1138;4275	1375;5116	1375;5116			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|Q16658|FSCN1_HUMAN;tr|C9JFC0|C9JFC0_HUMAN;tr|A0A0A0MSB2|A0A0A0MSB2_HUMAN;tr|C9JPH9|C9JPH9_HUMAN	sp|Q16658|FSCN1_HUMAN	8;2;2;1	8;2;2;1	8;2;2;1	sp|Q16658|FSCN1_HUMAN Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3	4	8	8	8	27.2	27.2	27.2	54.529	493	493;132;137;120	0	76.142	323410000	9				991	3981;5256;5408;6209;7070;7436;7742;7751	True;True;True;True;True;True;True;True	4002;5296;5450;6254;7124;7492;7799;7808	4670;6213;6392;6393;7340;8378;8809;9159;9169	5602;7473;7474;7684;7685;8834;10109;10637;11069;11081	5602;7473;7684;8834;10109;10637;11069;11081			-1;-1;-1;-1
tr|E5RID6|E5RID6_HUMAN;tr|E5RJD2|E5RJD2_HUMAN;tr|E5RJG7|E5RJG7_HUMAN;tr|E5RFV2|E5RFV2_HUMAN;sp|Q16698|DECR_HUMAN	tr|E5RID6|E5RID6_HUMAN;tr|E5RJD2|E5RJD2_HUMAN;tr|E5RJG7|E5RJG7_HUMAN;tr|E5RFV2|E5RFV2_HUMAN;sp|Q16698|DECR_HUMAN	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	tr|E5RID6|E5RID6_HUMAN 2,4-dienoyl-CoA reductase, mitochondrial OS=Homo sapiens OX=9606 GN=DECR1 PE=1 SV=1;tr|E5RJD2|E5RJD2_HUMAN 2,4-dienoyl-CoA reductase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=DECR1 PE=1 SV=1;tr|E5RJG7|E5RJG7_HUMAN 2,4-dien	5	1	1	1	13.7	13.7	13.7	10.222	95	95;151;181;205;335	0.0021536	6.5376	30409000	2				992	6906	True	6960	8182	9858;9859	9859			-1;-1;-1;-1;-1
sp|Q16720|AT2B3_HUMAN	sp|Q16720|AT2B3_HUMAN	27	13	12	sp|Q16720|AT2B3_HUMAN Plasma membrane calcium-transporting ATPase 3 OS=Homo sapiens OX=9606 GN=ATP2B3 PE=1 SV=3	1	27	13	12	24.6	14.2	13.6	134.2	1220	1220	0	99.805	493680000	15				993	154;1242;1262;2054;2169;2574;2575;2773;2997;3031;3352;3560;3727;4898;4964;4988;5325;5584;5585;5736;5737;6059;6193;6473;6743;7561;7562	False;True;False;True;True;False;False;True;True;False;False;True;False;False;True;True;True;False;False;True;True;True;False;False;True;False;False	154;1248;1268;2064;2180;2586;2587;2785;3009;3043;3371;3579;3747;4933;5000;5024;5366;5626;5627;5778;5779;6103;6238;6520;6794;7618;7619	178;1442;1465;2360;2492;2970;2971;3212;3213;3453;3520;3903;3904;4157;4348;5758;5839;5864;6291;6595;6596;6789;6790;7165;7324;7652;7977;8953;8954	221;222;1734;1735;1761;1762;2821;2822;2977;3553;3554;3555;3838;3839;4134;4213;4685;4686;4687;4981;5211;6917;7017;7047;7566;7934;7935;7936;8152;8153;8625;8816;9209;9612;10813;10814	221;1735;1762;2822;2977;3553;3555;3838;4134;4213;4686;4981;5211;6917;7017;7047;7566;7934;7936;8152;8153;8625;8816;9209;9612;10813;10814			-1
sp|Q16740|CLPP_HUMAN;tr|M0R208|M0R208_HUMAN;tr|A0A2R8YEF5|A0A2R8YEF5_HUMAN	sp|Q16740|CLPP_HUMAN;tr|M0R208|M0R208_HUMAN;tr|A0A2R8YEF5|A0A2R8YEF5_HUMAN	2;2;1	2;2;1	2;2;1	sp|Q16740|CLPP_HUMAN ATP-dependent Clp protease proteolytic subunit, mitochondrial OS=Homo sapiens OX=9606 GN=CLPP PE=1 SV=1;tr|M0R208|M0R208_HUMAN ATP-dependent Clp protease proteolytic subunit OS=Homo sapiens OX=9606 GN=CLPP PE=1 SV=1;tr|A0A2R8YEF5|A0A2R	3	2	2	2	9.4	9.4	9.4	30.18	277	277;190;33	0	12.659	31844000	2				994	3062;7789	True;True	3075;7846	3553;9215	4250;11136	4250;11136			-1;-1;-1
tr|B1AH48|B1AH48_HUMAN;sp|Q16762|THTR_HUMAN	tr|B1AH48|B1AH48_HUMAN;sp|Q16762|THTR_HUMAN	1;1	1;1	1;1	tr|B1AH48|B1AH48_HUMAN Thiosulfate sulfurtransferase (Fragment) OS=Homo sapiens OX=9606 GN=TST PE=1 SV=1;sp|Q16762|THTR_HUMAN Thiosulfate sulfurtransferase OS=Homo sapiens OX=9606 GN=TST PE=1 SV=4	2	1	1	1	9.7	9.7	9.7	14.236	124	124;297	0.00076628	7.0417	23437000	1				995	7190	True	7245	8522	10279	10279			-1;-1
tr|H3BPK3|H3BPK3_HUMAN;sp|Q16775|GLO2_HUMAN;tr|H3BV79|H3BV79_HUMAN;tr|H3BPQ4|H3BPQ4_HUMAN	tr|H3BPK3|H3BPK3_HUMAN;sp|Q16775|GLO2_HUMAN;tr|H3BV79|H3BV79_HUMAN;tr|H3BPQ4|H3BPQ4_HUMAN	2;2;1;1	2;2;1;1	2;2;1;1	tr|H3BPK3|H3BPK3_HUMAN Hydroxyacylglutathione hydrolase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=HAGH PE=1 SV=1;sp|Q16775|GLO2_HUMAN Hydroxyacylglutathione hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HAGH PE=1 SV=2;tr|H3BV79|H3BV79_HUMA	4	2	2	2	10	10	10	26.305	239	239;308;64;258	0	13.971	36828000	3				996	428;6847	True;True	428;6901	480;8111;8112	573;9771;9772	573;9771			-1;-1;-1;-1
tr|F5GY40|F5GY40_HUMAN;sp|Q16795|NDUA9_HUMAN;tr|A0A3B3ISG8|A0A3B3ISG8_HUMAN	tr|F5GY40|F5GY40_HUMAN;sp|Q16795|NDUA9_HUMAN;tr|A0A3B3ISG8|A0A3B3ISG8_HUMAN	2;2;2	2;2;2	2;2;2	tr|F5GY40|F5GY40_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=NDUFA9 PE=1 SV=1;sp|Q16795|NDUA9_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=H	3	2	2	2	12.1	12.1	12.1	16.738	149	149;377;567	0	11.94	102670000	2				997	4707;7858	True;True	4734;7915	5515;9298	6620;11234	6620;11234			-1;-1;-1
