Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs	Sequence coverage Sample1-rep-1 [%]	Sequence coverage Sample1-rep-3 [%]	Sequence coverage Sample1-rep-4 [%]	Sequence coverage Sample2-rep-1 [%]	Sequence coverage Sample2-rep-3 [%]	Sequence coverage Sample2-rep-4 [%]	Sequence coverage Sample3-rep-2 [%]	Sequence coverage Sample3-rep-3 [%]	Sequence coverage Sample3-rep-4 [%]
sp|P60709|ACTB_HUMAN;tr|A0A2R8Y793|A0A2R8Y793_HUMAN;sp|Q6S8J3|POTEE_HUMAN;tr|G5E9R0|G5E9R0_HUMAN;tr|E7EVS6|E7EVS6_HUMAN;tr|A0A2R8YGF8|A0A2R8YGF8_HUMAN;tr|C9JZR7|C9JZR7_HUMAN;tr|C9JUM1|C9JUM1_HUMAN;tr|C9JTX5|C9JTX5_HUMAN;sp|A5A3E0|POTEF_HUMAN;tr|A0A2R8YEA7|A0A2R8YEA7_HUMAN;tr|A0A2R8YFE2|A0A2R8YFE2_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|Q562R1|ACTBL_HUMAN;sp|Q9BYX7|ACTBM_HUMAN;sp|P0CG39|POTEJ_HUMAN;tr|F8WCH0|F8WCH0_HUMAN	sp|P60709|ACTB_HUMAN;tr|A0A2R8Y793|A0A2R8Y793_HUMAN	25;19;9;9;9;9;8;8;7;7;6;6;6;5;4;4;3	1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0	1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0	"sp|P60709|ACTB_HUMAN Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1;tr|A0A2R8Y793|A0A2R8Y793_HUMAN Actin, cytoplasmic 1 (Fragment) OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1"	17	25	1	1	72.8	4.5	4.5	41.736	375	375;309;1075;125;163;165;102;96;80;1075;157;79;1075;376;375;1038;52	0	22.547	1391600000	8				660	215;614;615;695;741;844;931;932;1113;1122;1473;1930;1995;2185;2186;2507;2547;2755;2767;3574;4005;4006;4813;5219;5329	False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	218;625;626;707;753;754;857;858;945;946;1130;1139;1494;1959;2026;2027;2217;2218;2550;2594;2806;2818;3650;4108;4109;4925;5336;5337;5450	269;743;744;846;847;896;897;898;899;900;901;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1129;1130;1131;1347;1357;1762;1763;2306;2379;2380;2381;2592;2593;3017;3018;3019;3020;3021;3022;3090;3091;3092;3353;3354;3355;3356;3357;3370;3371;4336;4337;4958;4959;5931;5932;5933;5934;6446;6447;6448;6449;6450;6451;6452;6602	324;887;888;889;890;1026;1027;1088;1089;1090;1091;1092;1093;1094;1095;1096;1235;1236;1237;1238;1239;1240;1241;1242;1243;1244;1245;1246;1247;1248;1249;1250;1251;1252;1253;1254;1255;1256;1384;1385;1386;1387;1641;1642;1656;2154;2155;2847;2848;2849;2937;2938;2939;3196;3197;3725;3726;3727;3728;3729;3730;3813;3814;3815;3816;4140;4141;4142;4143;4144;4145;4146;4159;4160;5340;5341;6136;6137;7312;7313;7314;7315;7316;7317;7318;7945;7946;7947;7948;7949;7950;7951;7952;7953;7954;8152;8153;8154	324;888;890;1027;1093;1248;1384;1387;1641;1656;2155;2848;2939;3196;3197;3727;3814;4142;4160;5340;6136;6137;7316;7951;8153	108;109;110;111;112	16;44;47;153;305	-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	95.9	95.9	95.9	86.7	86.7	86.7	95.9	95.9	86.7
tr|E5RIP1|E5RIP1_HUMAN;tr|E5RJX2|E5RJX2_HUMAN;sp|P60866|RS20_HUMAN	tr|E5RIP1|E5RIP1_HUMAN;tr|E5RJX2|E5RJX2_HUMAN;sp|P60866|RS20_HUMAN	1;1;1	1;1;1	1;1;1	tr|E5RIP1|E5RIP1_HUMAN 40S ribosomal protein S20 OS=Homo sapiens OX=9606 GN=RPS20 PE=1 SV=1;tr|E5RJX2|E5RJX2_HUMAN 40S ribosomal protein S20 OS=Homo sapiens OX=9606 GN=RPS20 PE=1 SV=1;sp|P60866|RS20_HUMAN 40S ribosomal protein S20 OS=Homo sapiens OX=9606 G	3	1	1	1	23.9	23.9	23.9	5.4292	46	46;61;119	0.0029369	6.1708	6198600	2				661	5143	TRUE	5260	6334	7810;7811	7810			-1;-1;-1	98.9	98.9	98.9	98.9	98.9	98.9	71.3	71.3	71.3
sp|P60880|SNP25_HUMAN;tr|A0A0A0MSS0|A0A0A0MSS0_HUMAN	sp|P60880|SNP25_HUMAN;tr|A0A0A0MSS0|A0A0A0MSS0_HUMAN	23;12	23;12	23;12	sp|P60880|SNP25_HUMAN Synaptosomal-associated protein 25 OS=Homo sapiens OX=9606 GN=SNAP25 PE=1 SV=1;tr|A0A0A0MSS0|A0A0A0MSS0_HUMAN Synaptosomal-associated protein 25 (Fragment) OS=Homo sapiens OX=9606 GN=SNAP25 PE=1 SV=1	2	23	23	23	89.8	89.8	89.8	23.315	206	206;93	0	274.62	2243400000	36				662	142;156;157;656;988;1231;1376;1980;2072;2108;2109;2110;2304;2543;3525;3692;4242;4283;5081;5082;5165;5773;5807	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	142;157;158;159;667;1003;1249;1396;2011;2104;2140;2141;2142;2338;2590;3599;3783;4349;4390;5196;5197;5198;5282;5900;5934	179;195;196;197;198;795;796;1205;1482;1651;2363;2467;2468;2505;2506;2507;2769;3086;4280;4281;4505;5266;5312;5313;6251;6252;6253;6254;6255;6362;7119;7162	216;237;238;239;240;241;961;962;963;1475;1801;2008;2009;2917;3044;3045;3083;3084;3085;3421;3808;5277;5278;5279;5280;5568;6515;6568;6569;7701;7702;7703;7704;7705;7706;7707;7842;8808;8861	216;239;241;962;1475;1801;2009;2917;3045;3083;3084;3085;3421;3808;5278;5568;6515;6568;7703;7707;7842;8808;8861	113;114;115	7;49;127	-1;-1	98.9	98.9	98.9	98.9	98.9	98.9	71.3	71.3	71.3
tr|G3V3U4|G3V3U4_HUMAN;tr|G3V3I1|G3V3I1_HUMAN;tr|G3V295|G3V295_HUMAN;sp|P60900|PSA6_HUMAN;tr|G3V5Z7|G3V5Z7_HUMAN	tr|G3V3U4|G3V3U4_HUMAN;tr|G3V3I1|G3V3I1_HUMAN;tr|G3V295|G3V295_HUMAN;sp|P60900|PSA6_HUMAN;tr|G3V5Z7|G3V5Z7_HUMAN	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	tr|G3V3U4|G3V3U4_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1;tr|G3V3I1|G3V3I1_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1;tr|G3V295|G3V295_HUMAN Proteasome subunit alpha type OS=Homo sap	5	1	1	1	12.1	12.1	12.1	11.57	107	107;148;203;246;252	0.00080386	6.5941	8500000	1				663	288	TRUE	292	360	436	436			-1;-1;-1;-1;-1	98.9	98.9	98.9	98.9	71.3	98.9	98.9	98.9	98.9
sp|P60953|CDC42_HUMAN;tr|Q5JYX0|Q5JYX0_HUMAN	sp|P60953|CDC42_HUMAN;tr|Q5JYX0|Q5JYX0_HUMAN	4;2	3;1	3;1	sp|P60953|CDC42_HUMAN Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2;tr|Q5JYX0|Q5JYX0_HUMAN Cell division control protein 42 homolog (Fragment) OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=1	2	4	3	3	27.2	21.5	21.5	21.258	191	191;136	0	26.354	52261000	3				664	711;1739;3897;5117	False;True;True;True	723;1765;3997;5234	863;2080;4804;4805;6297	1047;2558;5939;5940;7766	1047;2558;5940;7766			-1;-1	93	93	93	99	99	92	99	99	99
tr|F6RFD5|F6RFD5_HUMAN;sp|P60981|DEST_HUMAN	tr|F6RFD5|F6RFD5_HUMAN;sp|P60981|DEST_HUMAN	2;2	2;2	2;2	tr|F6RFD5|F6RFD5_HUMAN Destrin OS=Homo sapiens OX=9606 GN=DSTN PE=1 SV=1;sp|P60981|DEST_HUMAN Destrin OS=Homo sapiens OX=9606 GN=DSTN PE=1 SV=3	2	2	2	2	17	17	17	15.397	135	135;165	0	13.439	35625000	2				665	523;5900	True;True	531;6027	632;7277	758;8999	758;8999			-1;-1	93.7	98.9	93.7	98.9	37.9	98.9	37.9	76.8	93.7
sp|P60983|GMFB_HUMAN;tr|G3V4P8|G3V4P8_HUMAN	sp|P60983|GMFB_HUMAN;tr|G3V4P8|G3V4P8_HUMAN	1;1	1;1	1;1	sp|P60983|GMFB_HUMAN Glia maturation factor beta OS=Homo sapiens OX=9606 GN=GMFB PE=1 SV=2;tr|G3V4P8|G3V4P8_HUMAN Glia maturation factor beta (Fragment) OS=Homo sapiens OX=9606 GN=GMFB PE=1 SV=1	2	1	1	1	7.7	7.7	7.7	16.713	142	142;150	0.00089366	7.7904	3672200	1				666	3877	TRUE	3977	4782	5911	5911			-1;-1	30.3	32.2	26.1	39.6	32.9	39.6	39.6	39.6	39.6
sp|P61006|RAB8A_HUMAN	sp|P61006|RAB8A_HUMAN	3	1	1	sp|P61006|RAB8A_HUMAN Ras-related protein Rab-8A OS=Homo sapiens OX=9606 GN=RAB8A PE=1 SV=1	1	3	1	1	15	5.8	5.8	23.668	207	207	0.00086957	7.424	3955900	1				667	3005;3717;5007	False;True;False	3058;3808;5122	3645;4537;6168	4498;4499;5607;7604	4498;5607;7604			-1	60.5	63.1	49.4	75.3	71.2	75.3	70.8	68.3	75.3
sp|P61019|RAB2A_HUMAN;tr|H7C125|H7C125_HUMAN;tr|E9PKL7|E9PKL7_HUMAN;tr|A0A3B3ITL1|A0A3B3ITL1_HUMAN;sp|Q8WUD1|RAB2B_HUMAN	sp|P61019|RAB2A_HUMAN;tr|H7C125|H7C125_HUMAN	5;3;2;2;2	5;3;2;2;2	5;3;2;2;2	sp|P61019|RAB2A_HUMAN Ras-related protein Rab-2A OS=Homo sapiens OX=9606 GN=RAB2A PE=1 SV=1;tr|H7C125|H7C125_HUMAN Ras-related protein Rab-2A (Fragment) OS=Homo sapiens OX=9606 GN=RAB2A PE=1 SV=1	5	5	5	5	32.5	32.5	32.5	23.545	212	212;104;181;208;216	0	96.25	251630000	8				668	939;1088;2373;3126;4856	True;True;True;True;True	953;1105;2414;3181;4969	1138;1322;2861;3781;5981	1394;1610;3534;3535;4666;4667;4668;7374	1394;1610;3534;4668;7374			-1;-1;-1;-1;-1	20.3	27.8	21.9	33.2	28.9	33.2	28.9	28.9	29.4
sp|P61020|RAB5B_HUMAN	sp|P61020|RAB5B_HUMAN	2	2	2	sp|P61020|RAB5B_HUMAN Ras-related protein Rab-5B OS=Homo sapiens OX=9606 GN=RAB5B PE=1 SV=1	1	2	2	2	12.1	12.1	12.1	23.707	215	215	0	14.309	24908000	2				669	4393;4848	True;True	4502;4961	5438;5973	6716;7364	6716;7364			-1	0	0	0	0	2.1	2.1	2.1	4.1	2.1
sp|P61026|RAB10_HUMAN	sp|P61026|RAB10_HUMAN	4	3	3	sp|P61026|RAB10_HUMAN Ras-related protein Rab-10 OS=Homo sapiens OX=9606 GN=RAB10 PE=1 SV=1	1	4	3	3	29	23.5	23.5	22.541	200	200	0	25.04	136720000	4				670	198;2642;3005;3716	True;True;False;True	200;2690;3058;3807	248;3218;3645;4536	297;3971;3972;4498;4499;5606	297;3972;4498;5606			-1	31.5	34.8	31.8	39.8	36.5	36.9	35	43.8	37.8
sp|P61081|UBC12_HUMAN;tr|M0QX69|M0QX69_HUMAN	sp|P61081|UBC12_HUMAN;tr|M0QX69|M0QX69_HUMAN	2;1	2;1	2;1	sp|P61081|UBC12_HUMAN NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens OX=9606 GN=UBE2M PE=1 SV=1;tr|M0QX69|M0QX69_HUMAN NEDD8-conjugating enzyme Ubc12 (Fragment) OS=Homo sapiens OX=9606 GN=UBE2M PE=1 SV=8	2	2	2	2	10.9	10.9	10.9	20.9	183	183;69	0	12.14	8235900	3				671	2378;2831	True;True	2419;2882	2866;3442	3540;4244;4245	3540;4245			-1;-1	4.3	4.3	4.3	6.4	5.2	8.1	10.6	8.3	10.6
tr|D6RFX1|D6RFX1_HUMAN;tr|D6RDM7|D6RDM7_HUMAN;sp|P61086|UBE2K_HUMAN	tr|D6RFX1|D6RFX1_HUMAN;tr|D6RDM7|D6RDM7_HUMAN;sp|P61086|UBE2K_HUMAN	1;1;1	1;1;1	1;1;1	tr|D6RFX1|D6RFX1_HUMAN Ubiquitin-conjugating enzyme E2 K OS=Homo sapiens OX=9606 GN=UBE2K PE=1 SV=1;tr|D6RDM7|D6RDM7_HUMAN Ubiquitin-conjugating enzyme E2 K (Fragment) OS=Homo sapiens OX=9606 GN=UBE2K PE=1 SV=1;sp|P61086|UBE2K_HUMAN Ubiquitin-conjugating e	3	1	1	1	15.9	15.9	15.9	4.8155	44	44;123;200	0.0087366	5.7563	0	1				672	424	TRUE	431	514	615	615			-1;-1;-1	76.5	83.3	76.5	84.6	86.4	84.6	86.4	86.4	86.4
sp|P61088|UBE2N_HUMAN;sp|Q5JXB2|UE2NL_HUMAN;tr|F8VZ29|F8VZ29_HUMAN;tr|F8VQQ8|F8VQQ8_HUMAN;tr|F8VSD4|F8VSD4_HUMAN;tr|F8VV71|F8VV71_HUMAN	sp|P61088|UBE2N_HUMAN;sp|Q5JXB2|UE2NL_HUMAN;tr|F8VZ29|F8VZ29_HUMAN;tr|F8VQQ8|F8VQQ8_HUMAN;tr|F8VSD4|F8VSD4_HUMAN;tr|F8VV71|F8VV71_HUMAN	4;3;2;2;2;2	4;3;2;2;2;2	4;3;2;2;2;2	sp|P61088|UBE2N_HUMAN Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1;sp|Q5JXB2|UE2NL_HUMAN Putative ubiquitin-conjugating enzyme E2 N-like OS=Homo sapiens OX=9606 GN=UBE2NL PE=1 SV=1;tr|F8VZ29|F8VZ29_HUMAN Ubiquitin-conjugatin	6	4	4	4	38.2	38.2	38.2	17.138	152	152;153;87;89;105;152	0	30.469	91562000	4				673	176;2949;5094;5257	True;True;True;True	178;3002;5210;5377	225;3583;6268;6498;6499	272;4424;7724;8016;8017	272;4424;7724;8017			-1;-1;-1;-1;-1;-1	5.5	5.5	5.5	5.5	9.8	5.5	9.8	4.3	4.3
sp|P61106|RAB14_HUMAN;tr|X6RFL8|X6RFL8_HUMAN	sp|P61106|RAB14_HUMAN;tr|X6RFL8|X6RFL8_HUMAN	8;5	8;5	8;5	sp|P61106|RAB14_HUMAN Ras-related protein Rab-14 OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=4;tr|X6RFL8|X6RFL8_HUMAN Ras-related protein Rab-14 (Fragment) OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=1	2	8	8	8	44.7	44.7	44.7	23.897	215	215;181	0	94.391	225340000	11				674	130;563;969;2518;2590;3273;3800;4940	True;True;True;True;True;True;True;True	130;572;984;2561;2637;3330;3892;5053	164;679;1185;3035;3036;3151;3958;4678;6084	199;813;1452;3746;3747;3890;3891;4890;5783;7494;7495	199;813;1452;3747;3891;4890;5783;7495			-1;-1	4.3	0	0	14.8	14.8	10.9	14.8	10.9	14.8
sp|P61158|ARP3_HUMAN;tr|F8WEW2|F8WEW2_HUMAN;tr|F8WE84|F8WE84_HUMAN;tr|B4DXW1|B4DXW1_HUMAN;tr|F8WDR7|F8WDR7_HUMAN	sp|P61158|ARP3_HUMAN	5;2;2;2;1	5;2;2;2;1	5;2;2;2;1	sp|P61158|ARP3_HUMAN Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=3	5	5	5	5	17.9	17.9	17.9	47.371	418	418;34;41;367;84	0	45.481	74491000	5				675	243;899;1888;2878;3086	True;True;True;True;True	246;913;1917;2929;3141	300;1094;1095;2252;3494;3735	363;1341;1342;2774;4315;4612	363;1342;2774;4315;4612			-1;-1;-1;-1;-1	23.7	29.2	29.2	29.2	23.3	23.3	23.3	23.3	23.3
sp|P61160|ARP2_HUMAN;tr|F5H6T1|F5H6T1_HUMAN	sp|P61160|ARP2_HUMAN;tr|F5H6T1|F5H6T1_HUMAN	5;4	5;4	5;4	sp|P61160|ARP2_HUMAN Actin-related protein 2 OS=Homo sapiens OX=9606 GN=ACTR2 PE=1 SV=1;tr|F5H6T1|F5H6T1_HUMAN Actin-related protein 2 OS=Homo sapiens OX=9606 GN=ACTR2 PE=1 SV=2	2	5	5	5	18	18	18	44.76	394	394;339	0	75.667	136740000	7				676	1964;2269;4579;5450;5592	True;True;True;True;True	1994;2301;2302;4690;5573;5717	2345;2730;2731;5653;6742;6909	2895;3370;3371;3372;6967;8341;8542	2895;3372;6967;8341;8542	116	114	-1;-1	39.9	34.2	33.7	34.2	34.2	34.2	34.2	34.2	39.9
sp|P61163|ACTZ_HUMAN;tr|R4GMT0|R4GMT0_HUMAN;tr|A0A1B0GVS3|A0A1B0GVS3_HUMAN	sp|P61163|ACTZ_HUMAN;tr|R4GMT0|R4GMT0_HUMAN;tr|A0A1B0GVS3|A0A1B0GVS3_HUMAN	4;4;2	3;3;1	3;3;1	sp|P61163|ACTZ_HUMAN Alpha-centractin OS=Homo sapiens OX=9606 GN=ACTR1A PE=1 SV=1;tr|R4GMT0|R4GMT0_HUMAN Alpha-centractin OS=Homo sapiens OX=9606 GN=ACTR1A PE=1 SV=1;tr|A0A1B0GVS3|A0A1B0GVS3_HUMAN Alpha-centractin OS=Homo sapiens OX=9606 GN=ACTR1A PE=1 SV=	3	4	3	3	17.3	14.6	14.6	42.613	376	376;332;221	0	19.636	9960700	4				677	216;492;890;5047	False;True;True;True	219;500;904;5162	270;597;1082;6214	325;718;1320;1321;7657	325;718;1321;7657			-1;-1;-1	6	15.9	15.9	22.5	22.5	22.5	22.5	22.5	22.5
tr|F5GWH5|F5GWH5_HUMAN;sp|P61165|TM258_HUMAN	tr|F5GWH5|F5GWH5_HUMAN;sp|P61165|TM258_HUMAN	1;1	1;1	1;1	tr|F5GWH5|F5GWH5_HUMAN Transmembrane protein 258 OS=Homo sapiens OX=9606 GN=TMEM258 PE=1 SV=1;sp|P61165|TM258_HUMAN Transmembrane protein 258 OS=Homo sapiens OX=9606 GN=TMEM258 PE=1 SV=1	2	1	1	1	16.3	16.3	16.3	5.7065	49	49;79	0.0015456	6.383	12238000	1				678	3440	TRUE	3506	4170	5149	5149			-1;-1	19.4	15.9	19.4	37.3	29.3	33.4	40.4	44.3	37.3
sp|P84077|ARF1_HUMAN;sp|P61204|ARF3_HUMAN;tr|F5H423|F5H423_HUMAN;tr|F5H0C7|F5H0C7_HUMAN;tr|H0YGG7|H0YGG7_HUMAN	sp|P84077|ARF1_HUMAN;sp|P61204|ARF3_HUMAN;tr|F5H423|F5H423_HUMAN;tr|F5H0C7|F5H0C7_HUMAN	6;6;4;3;2	6;6;4;3;2	4;4;2;1;2	sp|P84077|ARF1_HUMAN ADP-ribosylation factor 1 OS=Homo sapiens OX=9606 GN=ARF1 PE=1 SV=2;sp|P61204|ARF3_HUMAN ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2;tr|F5H423|F5H423_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV	5	6	6	4	47.5	47.5	29.8	20.697	181	181;181;210;102;62	0	74.929	99783000	14				679	2275;2852;3501;3731;3989;3990	True;True;True;True;True;True	2308;2903;3574;3822;4091;4092	2737;3465;4251;4252;4551;4938;4939;4940	3379;3380;3381;4277;5243;5244;5624;5625;6112;6113;6114;6115;6116;6117	3381;4277;5244;5625;6112;6117			-1;-1;-1;-1;-1	14.3	24.5	14.3	20.6	18.2	14.3	18.2	24.5	14.3
sp|P61224|RAP1B_HUMAN;tr|F5H7Y6|F5H7Y6_HUMAN;tr|E7ESV4|E7ESV4_HUMAN;tr|F5GX62|F5GX62_HUMAN;tr|F5GZG1|F5GZG1_HUMAN;sp|A6NIZ1|RP1BL_HUMAN;tr|F5H004|F5H004_HUMAN;tr|F5H6R7|F5H6R7_HUMAN;tr|B7ZB78|B7ZB78_HUMAN;tr|F5H823|F5H823_HUMAN;tr|F5H500|F5H500_HUMAN;tr|F5H0B7|F5H0B7_HUMAN;tr|F5GYB5|F5GYB5_HUMAN;tr|F5H491|F5H491_HUMAN;tr|F5GWU8|F5GWU8_HUMAN;tr|F5H077|F5H077_HUMAN;tr|F5H4H0|F5H4H0_HUMAN;tr|F5GYH7|F5GYH7_HUMAN;tr|F8WBC0|F8WBC0_HUMAN	sp|P61224|RAP1B_HUMAN;tr|F5H7Y6|F5H7Y6_HUMAN;tr|E7ESV4|E7ESV4_HUMAN;tr|F5GX62|F5GX62_HUMAN;tr|F5GZG1|F5GZG1_HUMAN;sp|A6NIZ1|RP1BL_HUMAN;tr|F5H004|F5H004_HUMAN;tr|F5H6R7|F5H6R7_HUMAN;tr|B7ZB78|B7ZB78_HUMAN;tr|F5H823|F5H823_HUMAN	7;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;2;2;1	7;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;2;2;1	2;2;2;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0	sp|P61224|RAP1B_HUMAN Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1;tr|F5H7Y6|F5H7Y6_HUMAN Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1;tr|E7ESV4|E7ESV4_HUMAN Ras-related protein Rap-1b (Fragment) OS=Homo sa	19	7	7	2	48.4	48.4	22.3	20.825	184	184;179;157;139;121;184;127;122;118;103;101;98;136;93;87;84;48;53;32	0	99.061	253510000	11				680	2338;3343;4208;4510;5521;5817;5919	True;True;True;True;True;True;True	2376;3401;4314;4620;5646;5944;6046	2814;4051;5226;5571;6824;6825;7173;7174;7299	3474;5010;5011;6468;6469;6873;8437;8438;8439;8874;8875;9025;9026	3474;5010;6469;6873;8438;8874;9025			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	20.2	20.2	20.2	23.7	24.1	27.5	25.3	24.1	27.5
sp|P61225|RAP2B_HUMAN	sp|P61225|RAP2B_HUMAN	7	7	3	sp|P61225|RAP2B_HUMAN Ras-related protein Rap-2b OS=Homo sapiens OX=9606 GN=RAP2B PE=1 SV=1	1	7	7	3	42.6	42.6	16.4	20.504	183	183	0	111.06	174180000	9				681	331;554;1099;2551;3737;5851;5918	True;True;True;True;True;True;True	335;563;1116;2598;3828;5978;6045	410;670;1333;3096;4570;7211;7298	492;493;804;1622;1623;3821;5649;8914;9024	493;804;1623;3821;5649;8914;9024			-1	10.6	15.2	15.6	18.4	19.5	21.9	23.4	20.8	23.4
tr|D6RB09|D6RB09_HUMAN;tr|E9PFI5|E9PFI5_HUMAN;tr|D6RG13|D6RG13_HUMAN;tr|D6RAT0|D6RAT0_HUMAN;sp|P61247|RS3A_HUMAN;tr|D6R9B6|D6R9B6_HUMAN;tr|H0Y8L7|H0Y8L7_HUMAN;tr|H0Y9Y4|H0Y9Y4_HUMAN;tr|D6RGE0|D6RGE0_HUMAN;tr|D6RED7|D6RED7_HUMAN;tr|D6RAS7|D6RAS7_HUMAN	tr|D6RB09|D6RB09_HUMAN;tr|E9PFI5|E9PFI5_HUMAN;tr|D6RG13|D6RG13_HUMAN;tr|D6RAT0|D6RAT0_HUMAN;sp|P61247|RS3A_HUMAN;tr|D6R9B6|D6R9B6_HUMAN;tr|H0Y8L7|H0Y8L7_HUMAN;tr|H0Y9Y4|H0Y9Y4_HUMAN	3;3;3;3;3;2;2;2;1;1;1	3;3;3;3;3;2;2;2;1;1;1	3;3;3;3;3;2;2;2;1;1;1	tr|D6RB09|D6RB09_HUMAN 40S ribosomal protein S3a (Fragment) OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=8;tr|E9PFI5|E9PFI5_HUMAN 40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=1;tr|D6RG13|D6RG13_HUMAN 40S ribosomal protein S3a (Fragment) O	11	3	3	3	15	15	15	22.459	193	193;205;223;227;264;145;190;208;65;101;125	0	54.809	39448000	3				682	1335;2919;3537	True;True;True	1355;2971;3612	1607;3544;4296	1955;4376;5296	1955;4376;5296			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	8.5	10.2	8.5	11.9	13.5	13.5	13.5	13.5	11.5
sp|P61266|STX1B_HUMAN	sp|P61266|STX1B_HUMAN	11	11	11	sp|P61266|STX1B_HUMAN Syntaxin-1B OS=Homo sapiens OX=9606 GN=STX1B PE=1 SV=1	1	11	11	11	34.4	34.4	34.4	33.244	288	288	0	145.73	1772600000	15				683	276;1508;2561;2692;2693;2926;3172;4036;5018;5227;5228	True;True;True;True;True;True;True;True;True;True;True	279;1529;2608;2742;2743;2978;3228;4139;5133;5345;5346	341;1815;1816;3109;3276;3277;3552;3839;5004;6182;6462;6463	412;2224;2225;3836;4041;4042;4043;4386;4742;4743;6192;7621;7968;7969;7970	412;2225;3836;4042;4043;4386;4742;6192;7621;7969;7970			-1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1	27.1
tr|E7EX53|E7EX53_HUMAN;tr|A0A2R8Y738|A0A2R8Y738_HUMAN;tr|A0A2R8YEM3|A0A2R8YEM3_HUMAN;tr|E7EQV9|E7EQV9_HUMAN;sp|P61313|RL15_HUMAN	tr|E7EX53|E7EX53_HUMAN;tr|A0A2R8Y738|A0A2R8Y738_HUMAN;tr|A0A2R8YEM3|A0A2R8YEM3_HUMAN;tr|E7EQV9|E7EQV9_HUMAN;sp|P61313|RL15_HUMAN	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	tr|E7EX53|E7EX53_HUMAN Ribosomal protein L15 (Fragment) OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=1;tr|A0A2R8Y738|A0A2R8Y738_HUMAN Ribosomal protein L15 (Fragment) OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=1;tr|A0A2R8YEM3|A0A2R8YEM3_HUMAN Ribosomal protein L	5	1	1	1	6.8	6.8	6.8	15.722	133	133;138;169;174;204	0.0055672	5.906	25318000	1				684	4560	TRUE	4671	5629	6943	6943			-1;-1;-1;-1;-1	0	0	0	0	0	2.5	0	0	2.5
